"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"5.6.2023 14:58:50",2,200,600,10
"5.6.2023 14:58:50",3,201,603,10.3
"5.6.2023 14:58:50",4,202,606,10.6
"5.6.2023 14:58:57",1,202,606,10.6
"5.6.2023 14:58:57",2,201,603,10.3
"5.6.2023 14:58:57",3,203,609,10.9
"5.6.2023 14:58:57",4,202,606,10.6
"5.6.2023 14:59:3",1,201,603,10.3
"5.6.2023 14:59:3",2,200,600,10
"5.6.2023 14:59:3",3,203,609,10.9
"5.6.2023 14:59:3",4,200,600,10
"5.6.2023 14:59:9",1,202,606,10.6
"5.6.2023 14:59:9",2,198,594,9.4
"5.6.2023 14:59:9",3,203,609,10.9
"5.6.2023 14:59:9",4,202,606,10.6
"5.6.2023 14:59:16",1,202,606,10.6
"5.6.2023 14:59:16",2,200,600,10
"5.6.2023 14:59:16",3,202,606,10.6
"5.6.2023 14:59:16",4,202,606,10.6
"5.6.2023 14:59:22",1,201,603,10.3
"5.6.2023 14:59:22",2,199,597,9.7
"5.6.2023 14:59:22",3,203,609,10.9
"5.6.2023 14:59:22",4,202,606,10.6
"5.6.2023 14:59:29",1,202,606,10.6
"5.6.2023 14:59:29",2,198,594,9.4
"5.6.2023 14:59:29",3,205,615,11.5
"5.6.2023 14:59:29",4,202,606,10.6
"5.6.2023 14:59:36",1,202,606,10.6
"5.6.2023 14:59:36",2,200,600,10
"5.6.2023 14:59:36",3,203,609,10.9
"5.6.2023 14:59:36",4,202,606,10.6
"5.6.2023 14:59:43",1,202,606,10.6
"5.6.2023 14:59:43",2,200,600,10
"5.6.2023 14:59:43",3,203,609,10.9
"5.6.2023 14:59:43",4,201,603,10.3
"5.6.2023 14:59:49",1,201,603,10.3
"5.6.2023 14:59:49",2,200,600,10
"5.6.2023 14:59:49",3,203,609,10.9
"5.6.2023 14:59:49",4,202,606,10.6
"5.6.2023 14:59:56",1,201,603,10.3
"5.6.2023 14:59:56",2,200,600,10
"5.6.2023 14:59:56",3,204,612,11.2
"5.6.2023 14:59:56",4,201,603,10.3
"5.6.2023 15:0:3",1,202,606,10.6
"5.6.2023 15:0:3",2,201,603,10.3
"5.6.2023 15:0:3",3,203,609,10.9
"5.6.2023 15:0:3",4,203,609,10.9
"5.6.2023 15:0:9",1,202,606,10.6
"5.6.2023 15:0:9",2,200,600,10
"5.6.2023 15:0:9",3,203,609,10.9
"5.6.2023 15:0:9",4,201,603,10.3
"5.6.2023 15:0:16",1,201,603,10.3
"5.6.2023 15:0:16",2,200,600,10
"5.6.2023 15:0:16",3,203,609,10.9
"5.6.2023 15:0:16",4,201,603,10.3
"5.6.2023 15:0:23",1,202,606,10.6
"5.6.2023 15:0:23",2,201,603,10.3
"5.6.2023 15:0:23",3,203,609,10.9
"5.6.2023 15:0:23",4,201,603,10.3
"5.6.2023 15:0:29",1,202,606,10.6
"5.6.2023 15:0:29",2,200,600,10
"5.6.2023 15:0:29",3,203,609,10.9
"5.6.2023 15:0:29",4,202,606,10.6
