"Time","Sensor_No","Analog_Read","Voltage_mV","Temperature_degC"
"8.6.2023 9:37:24",4,203,609,10.9
"8.6.2023 9:37:33",1,205,615,11.5
"8.6.2023 9:37:33",2,203,609,10.9
"8.6.2023 9:37:33",3,204,612,11.2
"8.6.2023 9:37:33",4,202,606,10.6
"8.6.2023 9:37:42",1,205,615,11.5
"8.6.2023 9:37:42",2,203,609,10.9
"8.6.2023 9:37:42",3,204,612,11.2
"8.6.2023 9:37:42",4,203,609,10.9
"8.6.2023 9:37:52",1,205,615,11.5
"8.6.2023 9:37:52",2,204,612,11.2
"8.6.2023 9:37:52",3,204,612,11.2
"8.6.2023 9:37:52",4,203,609,10.9
"8.6.2023 9:38:1",1,205,615,11.5
"8.6.2023 9:38:1",2,204,612,11.2
"8.6.2023 9:38:1",3,204,612,11.2
"8.6.2023 9:38:1",4,202,606,10.6
"8.6.2023 9:38:10",1,205,615,11.5
"8.6.2023 9:38:10",2,203,609,10.9
"8.6.2023 9:38:10",3,204,612,11.2
"8.6.2023 9:38:10",4,202,606,10.6
"8.6.2023 9:38:19",1,205,615,11.5
"8.6.2023 9:38:19",2,203,609,10.9
"8.6.2023 9:38:19",3,204,612,11.2
"8.6.2023 9:38:19",4,202,606,10.6
"8.6.2023 9:38:29",1,206,618,11.8
"8.6.2023 9:38:29",2,203,609,10.9
"8.6.2023 9:38:29",3,205,615,11.5
"8.6.2023 9:38:29",4,202,606,10.6
"8.6.2023 9:38:38",1,205,615,11.5
"8.6.2023 9:38:38",2,204,612,11.2
"8.6.2023 9:38:38",3,205,615,11.5
"8.6.2023 9:38:38",4,202,606,10.6
"8.6.2023 9:38:47",1,205,615,11.5
"8.6.2023 9:38:47",2,203,609,10.9
"8.6.2023 9:38:47",3,205,615,11.5
"8.6.2023 9:38:47",4,203,609,10.9
"8.6.2023 9:38:57",1,204,612,11.2
"8.6.2023 9:38:57",2,203,609,10.9
"8.6.2023 9:38:57",3,205,615,11.5
"8.6.2023 9:38:57",4,202,606,10.6
"8.6.2023 9:39:6",1,205,615,11.5
"8.6.2023 9:39:6",2,202,606,10.6
"8.6.2023 9:39:6",3,205,615,11.5
"8.6.2023 9:39:6",4,202,606,10.6
"8.6.2023 9:39:15",1,205,615,11.5
"8.6.2023 9:39:15",2,203,609,10.9
"8.6.2023 9:39:15",3,207,621,12.1
